id,lat,long
Greenock,55.9473423,-4.7564721
Glasgow,55.8606182,-4.2497933
Preston,53.7593363,-2.6992717
Birmingham,52.4796992,-1.9026911
Southampton,50.9025349,-1.404189
Le Havre,49.4938975,0.1079732
Paris,48.8588897,2.3200410217200766
Orléans,47.9027336,1.9086066
Bordeaux,44.841225,-0.5800364
San Sebastián,43.3224219,-1.9838889
Burgos,42.343926,-3.696977
Madrid,40.4167047,-3.7035825
Seville,37.3886303,-5.9953403
Algeciras,36.1311725,-5.4473991
Inverness,57.4790124,-4.225739
Perth,56.3958186,-3.4286805
Edinburgh,55.9533456,-3.1883749
Newcastle,54.9738474,-1.6131572
London,51.5073359,-0.12765
Folkestone,51.0791335,1.1794073
Dover,51.1251275,1.3134228
Calais,50.9524769,1.8538446
Lyon,45.7578137,4.8320114
Orange,44.1371311,4.8078783
Narbonne,43.1837661,3.0042121
Girona,41.9793006,2.8199439
Barcelona,41.3828939,2.1774322
Tarragona,41.1172364,1.2546057
Castellón de la Plana,39.9860347,-0.0377354
Valencia,39.4697065,-0.3763353
Alicante,38.3436365,-0.4881708
Murcia,37.9923795,-1.1305431
Almería,36.8414197,-2.4628135
Málaga,36.7213028,-4.4216366
Hook of Holland,51.9771615,4.1314526
Rotterdam,51.9244424,4.47775
Eindhoven,51.4392648,5.478633
Maastricht,50.85798545,5.6969881818221095
Liège,50.6450944,5.5736112
Bastogne,50.0023102,5.7173386
Arlon,49.6834601,5.8167711
Luxembourg,49.8158683,6.1296751
Metz,49.1196964,6.1763552
Saint-Avold,49.1043397,6.7071754
Strasbourg,48.584614,7.7507127
Mulhouse,47.7467233,7.3389937
Basel,47.5581077,7.5878261
Olten,47.3496571,7.903787
Bern,46.9482713,7.4514512
Lausanne,46.5218269,6.6327025
Geneva,46.2017559,6.1466014
Mont Blanc,45.8327057,6.8651706
Aosta,45.7370885,7.3196649
Ivrea,45.4673791,7.874797
Vercelli,45.55538265,8.346283678327271
Alessandria,44.83495335,8.745030418605868
Genoa,44.40726,8.9338624
Bastia,42.7008676,9.4512866
Porto-Vecchio,41.5911382,9.2794469
Bonifacio,41.3878259,9.1606179
Porto Torres,40.8370333,8.4013292
Sassari,40.7232643,8.5610074
Cagliari,39.2171994,9.113311
Amsterdam,52.3730796,4.8924534
Utrecht,52.080985600000005,5.12768396945229
Arnhem,51.984257,5.9108573
Emmerich,51.8322137,6.2428283
