Source,Target
Greenock,Glasgow
Glasgow,Preston
Glasgow,Edinburgh
Preston,Birmingham
Birmingham,Southampton
Birmingham,Cambridge
Le Havre,Paris
Le Havre,Amiens
Paris,Orléans
Paris,Calais
Paris,Lyon
Paris,Brussels
Paris,Le Mans
Paris,Reims
Paris,Chaumont
Orléans,Bordeaux
Orléans,Tours
Orléans,Montargis
Orléans,Toulouse
Bordeaux,San Sebastián
Bordeaux,Clermont-Ferrand
Bordeaux,Toulouse
Bordeaux,Angoulême
San Sebastián,Burgos
San Sebastián,Bilbao
San Sebastián,Toulouse
Burgos,Madrid
Burgos,Valladolid
Madrid,Seville
Madrid,Barcelona
Madrid,Valencia
Madrid,Lisbon
Seville,Algeciras
Seville,Huelva
Seville,Mérida
Algeciras,Málaga
Inverness,Perth
Perth,Edinburgh
Edinburgh,Newcastle
Newcastle,London
Newcastle,Carlisle
London,Folkestone
London,Bristol
London,Colchester
London,Northampton
Folkestone,Dover
Calais,Bruges
Calais,Rouen
Lyon,Orange
Lyon,Clermont-Ferrand
Lyon,Chambéry
Lyon,Pont-d'Ain
Lyon,Grenoble
Orange,Narbonne
Orange,Marseille
Narbonne,Girona
Girona,Barcelona
Barcelona,Tarragona
Barcelona,Toulouse
Tarragona,Castellón de la Plana
Castellón de la Plana,Valencia
Valencia,Alicante
Alicante,Murcia
Murcia,Almería
Almería,Málaga
Málaga,Granada
Hook of Holland,Rotterdam
Hook of Holland,The Hague
Rotterdam,Eindhoven
Rotterdam,Ludwigshafen
Eindhoven,Maastricht
Eindhoven,Antwerp
Eindhoven,Venlo
Eindhoven,Breda
Maastricht,Liège
Liège,Bastogne
Liège,Leuven
Liège,Eupen
Liège,Antwerp
Liège,Namur
Liège,St. Vith
Liège,Charleville-Mézières
Bastogne,Arlon
Arlon,Luxembourg
Luxembourg,Metz
Luxembourg,St. Vith
Luxembourg,Charleville-Mézières
Luxembourg,Trier
Metz,Saint-Avold
Metz,Lausanne
Metz,Geneva
Metz,Brussels
Metz,Reims
Metz,Saarbrücken
Saint-Avold,Strasbourg
Strasbourg,Mulhouse
Strasbourg,Appenweier
Mulhouse,Basel
Mulhouse,Belfort
Mulhouse,Chaumont
Mulhouse,Remiremont
Basel,Olten
Basel,Offenburg
Basel,Zürich
Basel,Waldshut
Olten,Bern
Olten,Lucerne
Bern,Lausanne
Bern,Belfort
Bern,Martigny
Lausanne,Geneva
Lausanne,Martigny
Geneva,Mont Blanc
Geneva,Chambéry
Geneva,Mâcon
Mont Blanc,Aosta
Aosta,Ivrea
Aosta,Martigny
Ivrea,Vercelli
Ivrea,Turin
Vercelli,Alessandria
Alessandria,Genoa
Alessandria,Turin
Alessandria,Tortona
Alessandria,Asti
Genoa,Rome
Genoa,Tortona
Genoa,Nice
Bastia,Porto-Vecchio
Porto-Vecchio,Bonifacio
Porto Torres,Sassari
Sassari,Cagliari
Sassari,Olbia
Amsterdam,Utrecht
Amsterdam,Amersfoort
Amsterdam,Brussels
Amsterdam,Groningen
Utrecht,Arnhem
Utrecht,Gouda
Utrecht,Amersfoort
Utrecht,Gorinchem
Arnhem,Emmerich
Emmerich,Oberhausen
Oberhausen,Cologne
Oberhausen,Dortmund
Oberhausen,Venlo
Cologne,Frankfurt am Main
Cologne,Aachen
Cologne,Olpe
Cologne,Sarreguemines
Cologne,Bremen
Frankfurt am Main,Heidelberg
Frankfurt am Main,Gießen
Frankfurt am Main,Mannheim
Frankfurt am Main,Aschaffenburg
Frankfurt am Main,Wiesbaden
Heidelberg,Karlsruhe
Karlsruhe,Offenburg
Karlsruhe,Stuttgart
Karlsruhe,Appenweier
Offenburg,Donaueschingen
Lucerne,Altdorf
Altdorf,Gotthard Pass
Altdorf,Zürich
Gotthard Pass,Bellinzona
Bellinzona,Lugano
Bellinzona,San Bernardino
Lugano,Chiasso
Chiasso,Como
Como,Milan
Milan,Piacenza
Milan,Turin
Milan,Tortona
Milan,Brescia
Milan,Gravellona Toce
Piacenza,Parma
Parma,Modena
Parma,La Spezia
Modena,Florence
Modena,Verona
Modena,Bologna
Florence,Rome
Florence,Migliarino
Rome,Pescara
Rome,San Cesareo
Karesuvanto,Karesuando
Karesuando,Arvidsjaur
Arvidsjaur,Östersund
Östersund,Mora
Östersund,Trondheim
Östersund,Sundsvall
Mora,Säffle
Säffle,Gothenburg
Gothenburg,Halmstad
Gothenburg,Örebro
Gothenburg,Oslo
Frederikshavn,Aalborg
Aalborg,Aarhus
Aalborg,Nørresundby
Aarhus,Vejle
Vejle,Kolding
Kolding,Flensburg
Flensburg,Hamburg
Hamburg,Hanover
Hamburg,Berlin
Hamburg,Bremen
Hamburg,Lübeck
Hanover,Göttingen
Hanover,Bad Oeynhausen
Hanover,Braunschweig
Göttingen,Kassel
Kassel,Fulda
Kassel,Dortmund
Fulda,Würzburg
Würzburg,Nuremberg
Würzburg,Aschaffenburg
Würzburg,Stuttgart
Würzburg,Ulm
Nuremberg,Munich
Nuremberg,Heilbronn
Nuremberg,Rozvadov
Nuremberg,Bayreuth
Nuremberg,Regensburg
Munich,Rosenheim
Munich,Salzburg
Munich,Ulm
Munich,Lindau
Munich,Deggendorf
Munich,Garmisch-Partenkirchen
Munich,Braunau am Inn
Rosenheim,Wörgl
Rosenheim,Bad Reichenhall
Wörgl,Innsbruck
Wörgl,St. Johann in Tirol
Innsbruck,Brenner
Innsbruck,Telfs
Innsbruck,Lauterach
Innsbruck,Imst
Innsbruck,Seefeld
Brenner,Fortezza
Fortezza,Bolzano
Fortezza,Innichen
Bolzano,Trento
Trento,Verona
Verona,Mestre
Verona,Brescia
Bologna,Cesena
Cesena,Perugia
Cesena,Ravenna
Cesena,Rimini
Perugia,Fiano Romano
Fiano Romano,Naples
Naples,Salerno
Naples,Avellino
Salerno,Sicignano degli Alburni
Salerno,Avellino
Sicignano degli Alburni,Cosenza
Sicignano degli Alburni,Potenza
Cosenza,Villa San Giovanni
Cosenza,Crotone
Messina,Catania
Messina,Palermo
Catania,Siracusa
Catania,Enna
Siracusa,Gela
Gela,Mazara del Vallo
Helsingør,Copenhagen
Copenhagen,Køge
Copenhagen,Malmö
Copenhagen,Esbjerg
Køge,Vordingborg
Vordingborg,Farø
Farø,Nykøbing Falster
Farø,Rødby
Nykøbing Falster,Gedser
Rostock,Berlin
Rostock,Lübeck
Rostock,Sassnitz
Berlin,Lübbenau
Berlin,Szczecin
Berlin,Świebodzin
Berlin,Magdeburg
Berlin,Leipzig
Berlin,Neubrandenburg
Lübbenau,Dresden
Lübbenau,Cottbus
Dresden,Ústí nad Labem
Dresden,Chemnitz
Dresden,Görlitz
Ústí nad Labem,Prague
Prague,Tábor
Prague,Mladá Boleslav
Prague,Jihlava
Prague,Plzeň
Prague,Karlovy Vary
Prague,Hradec Králové
Tábor,Linz
Linz,Salzburg
Linz,Sattledt
Linz,Sankt Pölten
Linz,Wels
Salzburg,Villach
Salzburg,Bad Reichenhall
Salzburg,Sattledt
Salzburg,Lofer
Villach,Tarvisio
Villach,Karavanke Tunnel
Villach,Spittal an der Drau
Villach,Klagenfurt
Tarvisio,Udine
Udine,Palmanova
Palmanova,Mestre
Palmanova,Trieste
Mestre,Ravenna
Rimini,Fano
Fano,Ancona
Fano,Sansepolcro
Ancona,Pescara
Pescara,Canosa di Puglia
Canosa di Puglia,Bari
Canosa di Puglia,Benevento
Bari,Brindisi
Bari,Taranto
Brindisi,Taranto
Igoumenitsa,Preveza
Igoumenitsa,Ioannina
Preveza,Rhion
Rhion,Patras
Rhion,Aigio
Patras,Pyrgos
Pyrgos,Kalamata
Kalamata,Tripoli
Malmö,Ystad
Malmö,Helsingborg
